id,Datetime,Rainfall (mm),Discharge (ML/d),Turbidity (NTU),Discharge (cms),stormID,stormCount
169,2015-04-20,2.0,43.29,29.2,0.501,21,1
170,2015-04-21,57.0,656.33,89.5,7.596,21,1
171,2015-04-22,23.5,1962.263,72.2,22.711,21,1
172,2015-04-23,23.5,1725.811,39.7,19.975,21,1
173,2015-04-24,5.0,1450.859,33.2,16.792,21,1
174,2015-04-25,0.0,297.09,15.1,3.439,21,1
650,2016-09-02,3.5,27.696,5.7,0.321,69,2
651,2016-09-03,32.5,1314.055,36.1,15.209,69,2
652,2016-09-04,5.5,464.186,32.9,5.373,69,2
653,2016-09-05,0.0,87.684,8.9,1.015,69,2
654,2016-09-06,0.0,59.784,7.0,0.692,69,2
1890,2020-02-06,0.0,2.605,4.2,0.03,154,3
1891,2020-02-07,9.5,6.264,6.6,0.072,154,3
1892,2020-02-08,15.0,22.214,9.5,0.257,154,3
1893,2020-02-09,30.0,97.234,25.5,1.125,154,3
1894,2020-02-10,71.5,1611.146,124.7,18.648,154,3
1895,2020-02-11,4.0,489.512,24.4,5.666,154,3
1896,2020-02-12,3.5,100.24,7.6,1.16,154,3
